"","book","release","chapter","page","chapter_num","page_num","n_code","n_lrn_q","n_lrn_item","lrn_auto","mcq","association","shorttext","clozeassociation","imageclozeassociation","sortlist","formulaV2","choicematrix","plaintext"
"968","College / Advanced Statistics and Data Science (ABCD)","v5.0","Chapter 14 - Multivariate Model Comparisons","14.2 Sums of Squares for Targeted Model Comparisons",14,2,2,5,4,3,3,0,0,0,0,0,0,0,2
"969","College / Advanced Statistics and Data Science (ABCD)","v5.0","Chapter 14 - Multivariate Model Comparisons","14.3 PRE and F for Targeted Model Comparisons",14,3,1,5,4,4,4,0,0,0,0,0,0,0,1
"970","College / Advanced Statistics and Data Science (ABCD)","v5.0","Chapter 14 - Multivariate Model Comparisons","14.4 Inference for Targeted Model Comparisons",14,4,0,1,1,1,1,0,0,0,0,0,0,0,0
"971","College / Advanced Statistics and Data Science (ABCD)","v5.0","Chapter 14 - Multivariate Model Comparisons","14.5 Using `shuffle()` for Targeted Model Comparisons (Part 1)",14,5,2,1,1,0,0,0,0,0,0,0,0,0,1
"972","College / Advanced Statistics and Data Science (ABCD)","v5.0","Chapter 14 - Multivariate Model Comparisons","14.6 Using `shuffle()` for Targeted Model Comparisons (Part 2)",14,6,3,2,2,2,2,0,0,0,0,0,0,0,0
"973","College / Advanced Statistics and Data Science (ABCD)","v5.0","Chapter 14 - Multivariate Model Comparisons","14.7 Deciding Which Predictors to Include in a Model",14,7,1,4,4,2,2,0,0,0,0,0,0,0,2
"974","College / Advanced Statistics and Data Science (ABCD)","v5.0","Chapter 14 - Multivariate Model Comparisons","14.8 Models with Multiple Categorical Predictors",14,8,2,11,7,8,8,0,0,0,0,0,0,0,3
"975","College / Advanced Statistics and Data Science (ABCD)","v5.0","Chapter 14 - Multivariate Model Comparisons","14.9 Error and Inference from Models with Multiple Categorical Predictors",14,9,1,7,5,5,5,0,0,0,0,0,0,0,2
"976","College / Advanced Statistics and Data Science (ABCD)","v5.0","Chapter 14 - Multivariate Model Comparisons","14.10 Models with Multiple Quantitative Predictors",14,10,4,4,4,1,1,0,0,0,0,0,0,0,3
"977","College / Advanced Statistics and Data Science (ABCD)","v5.0","Chapter 14 - Multivariate Model Comparisons","14.11 Error and Inference from Models with Multiple Quantitative Predictors",14,11,1,6,3,4,2,0,2,0,0,0,0,0,2
"978","College / Advanced Statistics and Data Science (ABCD)","v5.0","Chapter 15 - Models with Interactions","15.1 Dogs in the Emergency Room",15,1,0,9,8,4,4,0,0,0,0,0,0,1,4
"979","College / Advanced Statistics and Data Science (ABCD)","v5.0","Chapter 15 - Models with Interactions","15.2 Additive versus Non-Additive Models",15,2,0,6,5,5,5,0,0,0,0,0,0,0,1
"980","College / Advanced Statistics and Data Science (ABCD)","v5.0","Chapter 15 - Models with Interactions","15.3 Representing the Interaction Model in GLM Notation",15,3,0,6,4,5,4,1,0,0,0,0,0,0,1
"981","College / Advanced Statistics and Data Science (ABCD)","v5.0","Chapter 15 - Models with Interactions","15.4 Interpreting Parameter Estimates for the Interaction Model",15,4,3,9,7,6,4,0,2,0,0,0,0,0,3
"982","College / Advanced Statistics and Data Science (ABCD)","v5.0","Chapter 15 - Models with Interactions","15.5 Making Parameter Estimates More Meaningful in Interaction",15,5,0,3,3,3,3,0,0,0,0,0,0,0,0
"983","College / Advanced Statistics and Data Science (ABCD)","v5.0","Chapter 15 - Models with Interactions","15.6 Centering a Quantitative Predictor at 0",15,6,2,7,5,5,5,0,0,0,0,0,0,0,2
"984","College / Advanced Statistics and Data Science (ABCD)","v5.0","Chapter 15 - Models with Interactions","15.8 Comparing the Interaction Model to the Additive Model (Part 2)",15,8,0,4,3,4,4,0,0,0,0,0,0,0,0
"985","College / Advanced Statistics and Data Science (ABCD)","v5.0","Chapter 16 - More Models with Interactions","16.1 Interactions with Two Quantitative Predictors",16,1,1,3,3,1,1,0,0,0,0,0,0,1,1
"986","College / Advanced Statistics and Data Science (ABCD)","v5.0","Chapter 16 - More Models with Interactions","16.2 Fitting and Visualizing an Interaction Model with Two Quantitative Predictors",16,2,1,5,3,4,4,0,0,0,0,0,0,0,1
"987","College / Advanced Statistics and Data Science (ABCD)","v5.0","Chapter 16 - More Models with Interactions","16.3 Interpreting Parameter Estimates of Interaction Models with Two Quantitative Predictors",16,3,1,4,1,3,3,0,0,0,0,0,0,0,1
"988","College / Advanced Statistics and Data Science (ABCD)","v5.0","Chapter 16 - More Models with Interactions","16.4 Comparing the Interaction Model to the Additive Model with Two Quantitative Predictors",16,4,1,4,3,3,3,0,0,0,0,0,0,0,1
"989","College / Advanced Statistics and Data Science (ABCD)","v5.0","Chapter 16 - More Models with Interactions","16.5 Interactions with Two Categorical Predictors",16,5,2,7,4,4,4,0,0,0,0,0,0,0,3
"990","College / Advanced Statistics and Data Science (ABCD)","v5.0","Chapter 16 - More Models with Interactions","16.6 Predictions of the Interaction Model with Two Categorical Predictors",16,6,1,8,4,8,7,1,0,0,0,0,0,0,0
"991","College / Advanced Statistics and Data Science (ABCD)","v5.0","Chapter 16 - More Models with Interactions","16.7 Visually Comparing the Interaction Model to the Additive Model with Two Categorical Predictors",16,7,0,2,2,1,1,0,0,0,0,0,0,0,1
"992","College / Advanced Statistics and Data Science (ABCD)","v5.0","Chapter 16 - More Models with Interactions","16.8 Thinking of Factorial Models in Terms of Intercepts and Slopes",16,8,1,3,2,1,1,0,0,0,0,0,0,0,2
