"","book","release","chapter_num","num_pages","n_code","n_lrn_q","n_lrn_item","lrn_auto","mcq","association","shorttext","clozeassociation","imageclozeassociation","sortlist","formulaV2","choicematrix","plaintext"
"76","College / Advanced Statistics and Data Science (ABCD)","v5.1.1",6,14,19,100,79,78,67,5,4,0,1,1,0,0,22
"77","College / Advanced Statistics and Data Science (ABCD)","v5.1.1",7,11,7,56,40,54,50,4,0,0,0,0,0,0,2
"78","College / Advanced Statistics and Data Science (ABCD)","v5.1.1",8,8,12,60,42,57,50,5,1,0,0,0,1,0,3
"79","College / Advanced Statistics and Data Science (ABCD)","v5.1.1",9,13,13,100,79,85,80,5,0,0,0,0,0,0,15
"80","College / Advanced Statistics and Data Science (ABCD)","v5.1.1",10,7,12,54,30,50,50,0,0,0,0,0,0,0,4
"81","College / Advanced Statistics and Data Science (ABCD)","v5.1.1",11,8,16,66,36,57,54,1,2,0,0,0,0,0,9
"82","College / Advanced Statistics and Data Science (ABCD)","v5.1.1",12,6,14,73,52,61,61,0,0,0,0,0,0,0,12
"83","College / Advanced Statistics and Data Science (ABCD)","v5.1.1",13,9,11,54,35,47,43,1,3,0,0,0,0,1,6
"84","College / Advanced Statistics and Data Science (ABCD)","v5.1.1",14,11,17,53,39,35,33,0,2,0,0,0,0,2,16
"85","College / Advanced Statistics and Data Science (ABCD)","v5.1.1",15,8,9,51,39,38,35,1,2,0,0,0,0,1,12
"86","College / Advanced Statistics and Data Science (ABCD)","v5.1.1",16,8,8,36,22,25,24,1,0,0,0,0,0,1,10
"87","College / Advanced Statistics and Data Science (ABCD)","v5.0",1,5,24,14,14,13,13,0,0,0,0,0,0,0,1
"88","College / Advanced Statistics and Data Science (ABCD)","v5.0",2,11,26,82,71,63,54,0,9,0,0,0,0,2,17
"89","College / Advanced Statistics and Data Science (ABCD)","v5.0",3,11,29,88,75,65,60,2,1,2,0,0,0,2,21
"90","College / Advanced Statistics and Data Science (ABCD)","v5.0",4,16,19,133,91,96,81,2,9,3,1,0,0,1,36
"91","College / Advanced Statistics and Data Science (ABCD)","v5.0",5,12,12,71,55,52,45,4,3,0,0,0,0,0,19
"92","College / Advanced Statistics and Data Science (ABCD)","v5.0",6,14,19,100,79,78,67,5,4,0,1,1,0,0,22
"93","College / Advanced Statistics and Data Science (ABCD)","v5.0",7,11,7,56,40,54,50,4,0,0,0,0,0,0,2
"94","College / Advanced Statistics and Data Science (ABCD)","v5.0",8,8,12,60,42,57,50,5,1,0,0,0,1,0,3
"95","College / Advanced Statistics and Data Science (ABCD)","v5.0",9,13,13,100,79,85,80,5,0,0,0,0,0,0,15
"96","College / Advanced Statistics and Data Science (ABCD)","v5.0",10,7,12,54,30,50,50,0,0,0,0,0,0,0,4
"97","College / Advanced Statistics and Data Science (ABCD)","v5.0",11,8,16,66,36,57,54,1,2,0,0,0,0,0,9
"98","College / Advanced Statistics and Data Science (ABCD)","v5.0",12,6,14,73,52,61,61,0,0,0,0,0,0,0,12
"99","College / Advanced Statistics and Data Science (ABCD)","v5.0",13,9,11,54,35,47,43,1,3,0,0,0,0,1,6
"100","College / Advanced Statistics and Data Science (ABCD)","v5.0",15,8,6,50,38,37,34,1,2,0,0,0,0,1,12
"101","College / Advanced Statistics and Data Science (ABCD)","v5.0",14,11,17,53,39,35,33,0,2,0,0,0,0,2,16
"102","College / Advanced Statistics and Data Science (ABCD)","v5.0",16,8,8,36,22,25,24,1,0,0,0,0,0,1,10
